id,date,time,day,timezone,timestamp,store,area,state,zip,franchise,age,lor,S,gender,homeowner,haskids,marital_status,metro,urban
145234569,8/30/2017,13:19:32,Wed,America/New_York,8/30/2017 17:19,Home Depot 7061, Calgary, AB,1405786,Home Depot,19,3,3,F,R,1,M,1,1
2198743,5/6/2017,13:06:36,Sat,America/New_York,5/6/2017 17:06,Home Depot 7061, Calgary, AB,1405786,Home Depot,19,13,5,M,H,0,M,1,0
373724446,7/8/2017,20:02:38,Sat,America/New_York,7/9/2017 0:02,Home Depot 7061, Calgary, AB,1405786,Home Depot,19,13,5,M,H,0,M,1,0
392864785,7/16/2017,9:35:28,Sun,America/New_York,7/16/2017 13:35,Home Depot 7061, Calgary, AB,1405786,Home Depot,19,13,5,M,H,0,M,1,0
207915969,7/8/2017,13:07:10,Sat,America/Anchorage,7/8/2017 21:07,Home Depot 8938, Kenai, AK,1405702,Home Depot,19,26,6,M,H,0,M,1,1
543786639,5/2/2017,18:21:36,Tue,UTC+00:00,5/2/2017 18:21,Home Depot 8938, Kenai, AK,1405702,Home Depot,19,18,4,M,H,1,M,1,1
95693693,8/23/2017,16:19:39,Wed,America/Anchorage,8/24/2017 0:19,Home Depot 8940, Anchorage, AK,1405704,Home Depot,19,5,1,M,0,0,S,1,1
169610242,5/4/2017,14:55:02,Thu,America/Denver,5/4/2017 20:55,Ashley Furniture HomeStore, Anchorage, AK,1408229,Ashley Furniture,19,5,1,M,0,0,S,1,1
564181742,5/24/2017,12:20:22,Wed,America/Anchorage,5/24/2017 20:20,Home Depot 1301, Anchorage, AK,33890,Home Depot,19,5,1,M,0,0,S,1,1
54903647,5/4/2017,14:00:24,Thu,America/Anchorage,5/4/2017 22:00,Home Depot 1302, Anchorage, AK,33891,Home Depot,19,5,1,M,0,0,S,1,1
91982987,8/5/2017,19:46:01,Sat,America/Los_Angeles,8/6/2017 2:46,Home Depot 1302, Anchorage, AK,33891,Home Depot,19,3,5,M,H,1,S,1,1
